"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"1","Restinga",3,16,24
"2","Restinga",4,27,34
"3","Restinga",9,38,34
"4","Restinga",4,38,24
"5","Restinga",9,38,24
"6","Restinga",9,78,42
"7","Restinga",9,9,42
"8","Restinga",7,78,24
"9","Restinga",15,49,41
"10","Restinga",79,16,13
"11","Restinga",15,87,24
"12","Restinga",5,70,34
"13","Restinga",6,8,24
"14","Restinga",15,87,41
"15","Restinga",11,3,43
"16","Restinga",13,3,40
"17","Restinga",15,12,40
"18","Restinga",20,3,43
"19","Restinga",15,13,40
"20","Restinga",21,11,43
"21","Restinga",17,6,42
"22","Restinga",9,78,40
"23","Restinga",25,3,5
"24","Restinga",25,8,42
"25","Restinga",5,60,40
"26","Restinga",21,87,41
"27","Restinga",15,87,42
"28","Restinga",21,3,43
"29","Restinga",10,87,42
"30","Restinga",9,3,43
"31","Restinga",3,9,3
"32","Restinga",3,8,41
"33","Restinga",25,8,44
"34","Restinga",14,10,7
"35","Restinga",18,10,42
"36","Restinga",29,87,4
"37","Restinga",21,12,6
"38","Restinga",3,87,34
"39","Restinga",14,60,34
"40","Restinga",13,12,34
"41","Restinga",11,3,40
"42","Restinga",27,17,41
"43","Restinga",20,13,40
"44","Restinga",15,8,24
"45","Restinga",7,8,34
"46","Restinga",5,6,34
"47","Restinga",15,9,43
"48","Restinga",24,21,44
"49","Restinga",17,8,34
"50","Restinga",7,87,24
"51","Restinga",13,3,24
"52","Restinga",10,9,43
"53","Restinga",4,15,42
"54","Restinga",18,87,41
"55","Restinga",13,3,13
"56","Restinga",16,18,13
"57","Restinga",20,11,42
"58","Restinga",21,11,41
"59","Restinga",3,2,2
"60","Restinga",16,8,40
"61","Restinga",14,87,40
"62","Restinga",17,10,43
"63","Restinga",27,10,42
"64","Restinga",5,13,24
"65","Restinga",13,8,43
"66","Restinga",14,6,41
"67","Restinga",18,10,42
"68","Restinga",5,14,40
"69","Restinga",14,14,43
"70","Restinga",20,13,5
"71","Restinga",16,13,4
"72","Restinga",17,11,43
"73","Restinga",28,30,42
"74","Restinga",15,20,40
"75","Restinga",17,15,41
"76","Restinga",26,14,3
"77","Restinga",19,18,34
"78","Restinga",21,12,3
"79","Restinga",20,24,40
"80","Restinga",34,2,24
"81","Restinga",15,12,43
"82","Restinga",16,10,43
"83","Restinga",18,18,5
"84","Restinga",23,2,13
"85","Restinga",13,11,4
"86","Restinga",16,19,5
"87","Restinga",19,23,3
"88","Restinga",19,21,4
"89","Restinga",20,20,10
"90","Restinga",11,21,5
"91","Restinga",9,17,4
"92","Restinga",27,24,10
"93","Restinga",27,22,10
"94","Restinga",31,33,10
"95","Restinga",22,20,5
"96","Restinga",19,29,7
"97","Restinga",18,26,7
"98","Restinga",5,21,4
"99","Restinga",1,19,3
"100","Restinga",3,18,44
"101","Restinga",4,13,44
"102","Restinga",11,17,3
"103","Restinga",4,15,5
"104","Restinga",16,22,7
"105","Restinga",67,8,42
"106","Restinga",79,87,40
"107","Restinga",17,15,43
"108","Restinga",26,23,44
"109","Restinga",9,20,43
"110","Restinga",29,21,9
"111","Restinga",67,70,40
"112","Restinga",67,87,24
"113","Restinga",67,9,40
"114","Restinga",10,10,42
"115","Restinga",25,12,5
"116","Restinga",7,12,3
"117","Restinga",45,78,34
"118","Restinga",13,3,42
"119","Restinga",10,8,43
"120","Restinga",2,87,42
"121","Restinga",7,9,41
"122","Restinga",19,10,43
"123","Restinga",15,6,42
"124","Restinga",3,13,4
"125","Restinga",21,10,4
"126","Restinga",13,11,44
"127","Restinga",9,8,3
"128","Restinga",67,6,41
"129","Restinga",15,11,41
"130","Restinga",7,8,3
"131","Restinga",11,9,40
"132","Restinga",16,9,34
"133","Restinga",18,13,42
"134","Restinga",10,8,34
"135","Restinga",9,12,41
"136","Restinga",20,15,44
"137","Restinga",67,6,41
"138","Restinga",9,20,44
